"배분ID","보충유형","매장코드","매장명","상품거래","상품시즌","스타일코드","컬러","사이즈","배분상태","배분확정수량","출고검출수량","출고대기수량","출고확정수량","배분 확정자","배분확정일","출고예정일","출고검출일","출고대기일","출고확정일","매장입고일","출고ID","매장자동입고확정",""
"XDIST202605060004974321","MD요청-상품","50090","아산(대-위)","위탁","26S","DMRS8I063","IVS","100","출고완료","1","1","0","1","권현정(KHJEONG)","2026-05-06","2026-05-06","2026-05-06 17:27:05","2026-05-06 17:27:05","2026-05-06 17:27:05","2026-05-07 01:02:27","X202605000365209","Y",""
"XDIST202605060004974321","MD요청-상품","10076","현대미아","위탁","26S","DMRS8I063","IVS","115","출고완료","1","1","0","1","권현정(KHJEONG)","2026-05-06","2026-05-06","2026-05-06 17:26:10","2026-05-06 17:26:10","2026-05-06 17:26:10","2026-05-07 01:05:00","X202605000365215","Y",""
"XDIST202605060004974321","MD요청-상품","50028","광주첨단(대-위)","위탁","26S","DMRS8I063","IVS","95","출고완료","1","1","0","1","권현정(KHJEONG)","2026-05-06","2026-05-06","2026-05-06 17:31:06","2026-05-06 17:31:06","2026-05-06 17:31:06","2026-05-07 01:04:21","X202605000365239","Y",""
"XDIST202605060004974321","MD요청-상품","50193","화순(대-위)","위탁","26S","DMRS8I063","IVS","115","출고완료","1","1","0","1","권현정(KHJEONG)","2026-05-06","2026-05-06","2026-05-06 17:30:17","2026-05-06 17:30:17","2026-05-06 17:30:17","2026-05-07 01:04:25","X202605000365244","Y",""
"XDIST202605060004974321","MD요청-상품","10059","현대대구","위탁","26S","DMRS8I063","IVS","115","출고완료","1","1","0","1","권현정(KHJEONG)","2026-05-06","2026-05-06","2026-05-06 17:30:17","2026-05-06 17:30:17","2026-05-06 17:30:17","2026-05-07 01:04:32","X202605000365252","Y",""
"XDIST202605070004991172","MD요청-상품","50077","서수원(대-위)","위탁","25N","DXCP5015N","BLL","58","출고완료","1","1","0","1","장윤희(YHJANG)","2026-05-07","2026-05-08","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-09 01:02:18","X202605000555005","Y",""
"XDIST202605070004991172","MD요청-상품","50115","부천(대-위)","위탁","25N","DXCP5015N","BLL","56","출고완료","1","1","0","1","장윤희(YHJANG)","2026-05-07","2026-05-08","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-09 01:03:05","X202605000555008","Y",""
"XDIST202605070004991172","MD요청-상품","10014","롯데중동","위탁","25N","DXCP5015N","BLL","58","출고완료","1","1","0","1","장윤희(YHJANG)","2026-05-07","2026-05-08","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-08 17:49:03","2026-05-09 01:03:17","X202605000555012","Y",""
"XDIST202605070004991172","MD요청-상품","50088","진접(대-위)","위탁","25N","DXCP5015N","BLL","58","출고완료","1","1","0","1","장윤희(YHJANG)","2026-05-07","2026-05-08","2026-05-08 17:33:04","2026-05-08 17:33:04","2026-05-08 17:33:04","2026-05-09 01:02:27","X202605000555025","Y",""
"XDIST202605070004991172","MD요청-상품","10064","현대천호","위탁","25N","DXCP5015N","BLL","58","출고완료","1","1","0","1","장윤희(YHJANG)","2026-05-07","2026-05-08","2026-05-08 17:33:04","2026-05-08 17:33:04","2026-05-08 17:33:04","2026-05-09 01:03:21","X202605000555027","Y",""
